# 常见姓氏数据
# 格式：姓氏,拼音,含义,来源

王,wang,统治者,古代帝王姓氏
李,li,李子树,源于植物
张,zhang,张弓,源于动作
刘,liu,杀戮,源于动作
陈,chen,古国名,源于地名
杨,yang,杨树,源于植物
赵,zhao,跑得快,源于动作
黄,huang,黄色,源于颜色
周,zhou,周朝,源于朝代
吴,wu,古代国名,源于地名
徐,xu,缓慢,源于动作
孙,sun,孙子,源于血缘
胡,hu,古代民族,源于民族
朱,zhu,红色,源于颜色
高,gao,高大,源于形容词
林,lin,树林,源于自然
何,he,负荷,源于动作
郭,guo,城郭,源于建筑
马,ma,马匹,源于动物
罗,luo,捕鸟网,源于工具
梁,liang,桥梁,源于建筑
宋,song,宋朝,源于朝代
郑,zheng,郑国,源于地名
谢,xie,感谢,源于动作
韩,han,韩國,源于地名
唐,tang,唐朝,源于朝代
冯,feng,马奔腾,源于动作
于,yu,于字,源于字形
董,dong,董草,源于植物
萧,xiao,萧艾,源于植物
程,cheng,道路,源于自然
曹,cao,曹操的后代,源于人名
袁,yuan,袁水,源于河流
邓,deng,邓国,源于地名
许,xu,允许,源于动作
傅,fu,辅助,源于动作
沈,shen,沉没,源于动作
曾,zeng,增加,源于动作
彭,peng,鼓声,源于声音
吕,lv,脊背,源于身体
苏,su,草名,源于植物
卢,lu,黑色,源于颜色
蒋,jiang,蒋山,源于山名
蔡,cai,蔡国,源于地名
贾,jia,商人,源于职业
丁,ding,钉子,源于工具
魏,wei,魏国,源于地名
薛,xue,蝎子,源于动物
叶,ye,树叶,源于植物
阎,yan,里巷的门,源于建筑
余,yu,剩余,源于数量
潘,pan,潘水,源于河流
杜,du,杜梨,源于植物
戴,dai,戴帽子,源于动作
夏,xia,华夏,源于民族
钟,zhong,钟声,源于声音
汪,wang,水汪汪,源于状态
田,tian,田地,源于自然
任,ren,担任,源于动作
姜,jiang,姜姓,源于姜太公
范,fan,范国,源于地名
方,fang,正直,源于形容词
石,shi,石头,源于自然
姚,yao,姚国,源于地名
谭,tan,谭国,源于地名
廖,liao,廖国,源于地名
邹,zou,邹国,源于地名
熊,xiong,熊姓,源于熊绎
金,jin,金属,源于材料
陆,lu,陆地,源于自然
郝,hao,郝山,源于山名
孔,kong,孔子后代,源于人名
白,bai,白色,源于颜色
崔,cui,高大,源于形容词
康,kang,健康,源于状态
毛,mao,毛发,源于身体
邱,qiu,丘陵,源于自然
秦,qin,秦国,源于地名
江,jiang,江河,源于自然
史,shi,史官,源于职业
顾,gu,顾念,源于动作
侯,hou,侯爵,源于爵位
邵,shao,邵国,源于地名
孟,meng,孟子后代,源于人名
龙,long,龙姓,源于龙图腾
万,wan,万姓,源于数量
段,duan,段国,源于地名
漕,cao,漕水,源于河流
钱,qian,钱币,源于物品
汤,tang,汤水,源于状态
尹,yin,治理,源于动作
黎,li,黎族,源于民族
易,yi,容易,源于形容词
常,chang,经常,源于频率
武,wu,武力,源于力量
乔,qiao,高大,源于形容词
贺,he,庆祝,源于动作
赖,lai,依赖,源于动作
龚,gong,恭敬,源于态度
文,wen,文化,源于概念
